hgnc	ensg	confidence	phenotype	panel	disease_group	moi
NSUN2	ENSG00000037474	2	AUTOSOMAL- RECESSIVE INTELLECTUAL DISABILITY MRT5 611091	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PLAA	ENSG00000137055	2	Lethal Infantile Epileptic Encephalopathy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SHANK3	ENSG00000251322	2	PHELAN-MCDERMID SYNDROME 606232	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FEZF1	ENSG00000128610	2	HYPOGONADOTROPIC HYPOGONADISM WITH OR WITHOUT ANOSMIA 616030	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ERCC4	ENSG00000175595	3	PRIMORDIAL DWARFISM 615272	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SLC45A1	ENSG00000162426	2	Intellectual disability and epilepsy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
IRX5	ENSG00000176842	2	HYPERTELORISM, SEVERE, WITH MIDFACE PROMINENCE, MYOPIA, MENTAL RETARDATION, AND BONE FRAGILITY 611174	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EDN1	ENSG00000078401	2	AURICULOCONDYLAR SYNDROME 602483	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
BLOC1S6	ENSG00000104164	2	HERMANSKY-PUDLAK SYNDROME 9 614171	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LRRC56	ENSG00000161328	2	Mucociliary Clearance and Laterality Defects	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SIX1	ENSG00000126778	3	Non-syndromic craniosynostosis	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DNAAF5	ENSG00000164818	2	CILIARY DYSKINESIA, PRIMARY, 18 614874	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AIMP1	ENSG00000164022	2	LEUKODYSTROPHY, HYPOMYELINATING, 3 260600	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AP4S1	ENSG00000100478	2	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 6 614067	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SACS	ENSG00000151835	2	SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE 270550	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FOXP2	ENSG00000128573	2	SPEECH-LANGUAGE DISORDER 1 602081	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PGAP1	ENSG00000197121	2	Intellectual disability, encephalopathy, impaired GPI-anchor maturation	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MECR	ENSG00000116353	2	Childhood-Onset Dystonia and Optic Atrophy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
THOC2	ENSG00000125676	2	MENTAL RETARDATION, X-LINKED 12 300957	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
B9D1	ENSG00000108641	2	MECKEL SYNDROME 9 614209	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GRIN2D	ENSG00000105464	2	Severe Epileptic Encephalopathy Treatable with NMDA Receptor Channel Blockers	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WDR73	ENSG00000177082	2	GALLOWAY-MOWAT SYNDROME: MICROCEPHALY AND STEROID-RESISTANT NEPHROTIC SYNDROME	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GBA	ENSG00000177628	3	GAUCHER DISEASE TYPE 3 231000	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LIPN	ENSG00000204020	2	ICHTHYOSIS, LAMELLAR, 4 613943	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PDE10A	ENSG00000112541	2	Childhood-Onset Chorea with Bilateral Striatal Lesions	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HOXB1	ENSG00000120094	2	FACIAL PARESIS, HEREDITARY CONGENITAL, 3 614744	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ACSL4	ENSG00000068366	2	MENTAL RETARDATION X-LINKED TYPE 63 300387	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
RMND1	ENSG00000155906	2	ENCEPHALOPATHY ASSOCIATED WITH MULTIPLE OXIDATIVE PHOSPHORYLATION COMPLEX DEFICIENCIES AND A MITOCHONDRIAL TRANSLATION DEFECT 614922	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LDB3	ENSG00000122367	3	LEFT VENTRICULAR NON-COMPACTION TYPE 3 601493	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KRT74	ENSG00000170484	2	HYPOTRICHOSIS SIMPLEX OF THE SCALP 2 613981	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EPRS	ENSG00000136628	2	Hypomyelinating Leukodystrophy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TAC3	ENSG00000166863	2	HYPOGONADOTROPIC HYPOGONADISM 146110	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PACS1	ENSG00000175115	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
IGFBP7	ENSG00000163453	2	RETINAL ARTERIAL MACROANEURYSM WITH SUPRAVALVULAR PULMONIC STENOSIS 614224	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ATP1A1	ENSG00000163399	2	Renal Hypomagnesemia Refractory Seizures and Intellectual Disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CFC1	ENSG00000136698	2	CFC1-RELATED CONOTRUNCAL HEART MALFORMATIONS 319372	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ATP6V1E1	ENSG00000131100	2	Mutations in ATP6V1E1 or ATP6V1A Cause Autosomal Recessive Cutis Laxa	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ARL3	ENSG00000138175	2	JOUBERT SYNDROME, 614615	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KIF5C	ENSG00000168280	2	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 2 615282	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AIRE	ENSG00000160224	3	AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME TYPE 1 240300	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FANCM	ENSG00000187790	2	FANCM-RELATED FANCONI ANEMIA 287713	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GJA1	ENSG00000152661	3	HALLERMANN-STREIFF SYNDROME 234100	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SOX5	ENSG00000134532	2	12P12.5 INTRAGENIC DELETIONS ASSOCIATED WITH INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RAC3	ENSG00000169750	2	Neurodevelopment disorder	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GNA11	ENSG00000088256	2	Congenital Hemangioma	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NR5A1	ENSG00000136931	3	SPERMATOGENIC FAILURE 8 613957	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PYCR2	ENSG00000143811	2	POSTNATAL MICROCEPHALY, HYPOMYELINATION, AND REDUCED CEREBRAL WHITE-MATTER VOLUME	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SLC4A1	ENSG00000004939	3	RENAL TUBULAR ACIDOSIS, DISTAL, AD 179800	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ASH1L	ENSG00000116539	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DENND5A	ENSG00000184014	2	EPILEPTIC ENCEPHALOPATHY	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CEP63	ENSG00000182923	2	SECKEL SYNDROME 6 614728	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ITGA8	ENSG00000077943	2	RENAL HYPODYSPLASIA/APLASIA 1 191830	DDG2P		BIALLELIC, autosomal or pseudoautosomal
POLD1	ENSG00000062822	3	SUBCUTANEOUS LIPODYSTROPHY, DEAFNESS, MANDIBULAR HYPOPLASIA AND MALE HYPOGONADISM	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SCYL1	ENSG00000142186	2	Episodes of Liver Failure, Peripheral Neuropathy, Cerebellar Atrophy, and Ataxia	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SEC24D	ENSG00000150961	2	SYNDROMIC OSTEOGENESIS IMPERFECTA	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AP4B1	ENSG00000134262	2	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 5 614066	DDG2P		BIALLELIC, autosomal or pseudoautosomal
JAM3	ENSG00000166086	2	HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION, AND CATARACTS 613730	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CHRNB2	ENSG00000160716	2	CHRNB2-RELATED NOCTURNAL FRONTAL LOBE EPILEPSY, AUTOSOMAL DOMINANT 605375	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARFGEF2	ENSG00000124198	2	PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY 608097	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EMG1	ENSG00000126749	2	Bowen-Conradi syndrome	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CNTNAP1	ENSG00000108797	2	LETHAL CONGENITAL CONTRACTURE SYNDROME 7 616286	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ABCD4	ENSG00000119688	2	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE 614857	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SNAP25	ENSG00000132639	2	Epilepsy and intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC5A7	ENSG00000115665	2	Congenital Myasthenic Syndrome with Episodic Apnea	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ALDOB	ENSG00000136872	3	HEREDITARY FRUCTOSE INTOLERANCE 229600	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ATP13A2	ENSG00000159363	3	PARKINSON DISEASE 9 606693	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DNMT3A	ENSG00000119772	3	Tatton-Brown Rahman syndrome (OVERGROWTH SYNDROME WITH INTELLECTUAL DISABILITY), 615879	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHD8	ENSG00000100888	2	AUTISM 209850	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLPP	ENSG00000125656	2	PERRAULT SYNDROME	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TIMM8A	ENSG00000126953	3	MOHR-TRANEBJAERG SYNDROME 304700	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
TCTN2	ENSG00000168778	2	JOUBERT SYNDROME AND RELATED DISORDERS 194263	DDG2P		BIALLELIC, autosomal or pseudoautosomal
HSPD1	ENSG00000144381	3	LEUKODYSTROPHY HYPOMYELINATING TYPE 4 612233	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PMPCB	ENSG00000105819	2	Neurodegeneration in Early Childhood	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LARS2	ENSG00000011376	2	PERRAULT SYNDROME	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CLMP	ENSG00000166250	2	CONGENITAL SHORT BOWEL SYNDROME 615237	DDG2P		BIALLELIC, autosomal or pseudoautosomal
COL9A3	ENSG00000092758	3	MULTIPLE EPIPHYSEAL DYSPLASIA TYPE 3 600969	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NUP62	ENSG00000213024	2	INFANTILE STRIATONIGRAL DEGENERATION 271930	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PHF21A	ENSG00000135365	2	POTOCKI-SHAFFER SYNDROME 601224	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GSPT2	ENSG00000189369	2	XL INTELLECTUAL DISABILITY	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
SECISBP2	ENSG00000187742	2	THYROID HORMONE METABOLISM, ABNORMAL 609698	DDG2P		BIALLELIC, autosomal or pseudoautosomal
COL4A2	ENSG00000134871	3	PORENCEPHALY 2 614483	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ACADS	ENSG00000122971	3	SHORT CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY 201470	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TBC1D20	ENSG00000125875	2	Warburg micro syndrome 4	DDG2P		BIALLELIC, autosomal or pseudoautosomal
P4HB	ENSG00000185624	2	COLE-CARPENTER SYNDROME 112240	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOXL2	ENSG00000183770	2	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS SYNDROME 110100	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TCTN1	ENSG00000204852	2	JOUBERT SYNDROME AND RELATED DISORDERS 194263	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GTF2E2	ENSG00000197265	2	DNA Repair-Proficient Trichothiodystrophy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TECPR2	ENSG00000196663	2	HEREDITARY SPASTIC PARAPARESIS 615031	DDG2P		BIALLELIC, autosomal or pseudoautosomal
STX1B	ENSG00000099365	2	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 9 616172	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DCDC2	ENSG00000146038	2	RENAL-HEPATIC CILIOPATHY 616217	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CDK5RAP2	ENSG00000136861	2	PRIMARY AUTOSOMAL RECESSIVE MICROCEPHALY 279936	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DNAH5	ENSG00000039139	2	CILIARY DYSKINESIA, PRIMARY, 3	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DHDDS	ENSG00000117682	2	Epilepsy and intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NONO	ENSG00000147140	2	SYNDROMIC INTELLECTUAL DISABILITY 612100	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
CARS2	ENSG00000134905	2	Epileptic encephalopathy with complex movement disorder and regression	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GPX4	ENSG00000167468	2	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE 250220	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ATP5D	ENSG00000099624	2	ATP5F1D metabolic disorder	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SPTAN1	ENSG00000197694	2	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 5 613477	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CEP135	ENSG00000174799	2	PRIMARY MICROCEPHALY AND DISTURBED CENTROSOMAL FUNCTION 614673	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RAB11B	ENSG00000185236	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CCDC151	ENSG00000198003	2	PRIMARY CILLARY DYSKINEASIA 616037	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SLC25A22	ENSG00000177542	2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 3 319213	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ATP1A3	ENSG00000105409	3	RAPID-ONSET DYSTONIA-PARKINSONISM 128235	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WWOX	ENSG00000186153	2	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12 614322	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NRXN2	ENSG00000110076	2	AUTISM 209850	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PNPLA1	ENSG00000180316	2	CONGENITAL ICHTHYOSIS	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RRAS	ENSG00000126458	2	ATYPICAL NOONAN SYNDROME	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BANF1	ENSG00000175334	2	NESTOR-GUILLERMO PROGERIA SYNDROME 614008	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CD96	ENSG00000153283	2	C SYNDROME 211750	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIGS	ENSG00000087111	2	Neurological Syndrome Fetal Akinesia /Epileptic Encephalopathy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
BPTF	ENSG00000171634	2	Developmental and Speech Delay, Postnatal Microcephaly, and Dysmorphic Features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TSEN15	ENSG00000198860	2	Pontocerebellar Hypoplasia and Progressive Microcephaly	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GLDN	ENSG00000186417	2	Lethal arthroogryposis	DDG2P		BIALLELIC, autosomal or pseudoautosomal
HMX1	ENSG00000215612	2	OCULOAURICULAR SYNDROME 612109	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FUK	ENSG00000157353	2	CONGENITAL DISORDER OF GLYCOSYLATION	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SIN3A	ENSG00000169375	2	SYNDROMIC INTELLECTUAL DISABILITY 612100	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PITX1	ENSG00000069011	2	CONGENITAL CLUBFOOT 119800	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AP4M1	ENSG00000221838	2	CEREBRAL PALSY SPASTIC QUADRIPLEGIC TYPE 3 612936	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NDUFA6	ENSG00000184983	2	Early Onset Isolated Mitochondrial Complex I Deficiency	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GABRB2	ENSG00000145864	2	Epilepsy and intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LMNA	ENSG00000160789	3	CHARCOT-MARIE-TOOTH DISEASE TYPE 2B1 605588	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PDE6H	ENSG00000139053	2	RETINAL CONE DYSTROPHY 3 PDE6H 610024	DDG2P		BIALLELIC, autosomal or pseudoautosomal
YWHAG	ENSG00000170027	2	Early-Onset Epilepsy	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BGN	ENSG00000182492	3	Severe syndromic form of thoracic aortic aneurysm & dissection	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
TRAF7	ENSG00000131653	3	Developmental Delay, Congenital Anomalies, and Dysmorphic Features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NEXMIF	ENSG00000050030	2	KIAA2022 300912	DDG2P		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SLC6A9	ENSG00000196517	2	Glycine Encephalopathy with Arthrogryposis	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CLCNKB	ENSG00000184908	2	BARTTER SYNDROME TYPE 4B 613090	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FUT8	ENSG00000033170	2	Congenital Disorder of Glycosylation with Defective Fucosylation	DDG2P		BIALLELIC, autosomal or pseudoautosomal
UQCRB	ENSG00000156467	2	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX III DEFICIENCY, UQCRB-RELATED 257827	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ALAD	ENSG00000148218	3	ACUTE HEPATIC PORPHYRIA 612740	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SMARCE1	ENSG00000073584	2	COFFIN SIRIS 135900	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CISD2	ENSG00000145354	3	WOLFRAM SYNDROME TYPE 2 604928	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AFF3	ENSG00000144218	2	Skeletal dysplasia with severe neurological disease	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
YAP1	ENSG00000137693	2	COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION 120433	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NEDD4L	ENSG00000049759	2	Periventricular nodular heterotopia with ID, cleft palate and 2.3 toe syndactyly	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NDUFB11	ENSG00000147123	2	MICROPHTHALMIA WITH LINEAR SKIN DEFECTS SYNDROME	DDG2P		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PIGG	ENSG00000174227	2	Intellectual Disability with Seizures and Hypotonia	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CCDC47	ENSG00000108588	2	Woolly Hair Liver Dysfunction Dysmorphic Features and Global Developmental Delay	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RHOBTB2	ENSG00000008853	2	Developmental and Epileptic Encephalopathy	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYLK	ENSG00000065534	2	Megacystis Microcolon Intestinal Hypoperistalsis Syndrome	DDG2P		BIALLELIC, autosomal or pseudoautosomal
HIST1H1E	ENSG00000168298	2	Childhood overgrowth	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UBE2T	ENSG00000077152	2	FANCONI ANEMIA, COMPLEMENTATION GROUP T 616435	DDG2P		BIALLELIC, autosomal or pseudoautosomal
COL4A1	ENSG00000187498	3	PORENCEPHALY 1 175780	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GRM1	ENSG00000152822	2	CONGENITAL CEREBELLAR ATAXIA 614831	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ZMYND11	ENSG00000015171	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SELENOI	ENSG00000138018	2	EPT1-related complex progressive hereditary spastic paraplegia	DDG2P		
TSEN2	ENSG00000154743	2	PONTOCEREBELLAR HYPOPLASIA TYPE 2 AND TYPE 4 316970	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GJB3	ENSG00000188910	3	DEAFNESS AUTOSOMAL DOMINANT TYPE 2B 612644	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
STN1	ENSG00000107960	2	Cerebroretinal microangiopathy with calcifications and cysts 2	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KMT2B	ENSG00000272333	2	Complex early-onset dystonia	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TBR1	ENSG00000136535	2	AUTISM 209850	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PPP2CA	ENSG00000113575	2	Syndromic Intellectual Disability Resembling Other PP2A Related Neurodevelopmental Disorders	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARID2	ENSG00000189079	2	ARID2-Coffin-Siris like disorder	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNJ8	ENSG00000121361	2	Cantu syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMG9	ENSG00000105771	2	SMG9 Multiple Congenital Anomaly Syndrome	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TAF13	ENSG00000197780	2	Autosomal-Recessive Intellectual Disability and Microcephaly	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CA5A	ENSG00000174990	2	HYPERAMMONEMIA DUE TO CARBONIC ANHYDRASE VA DEFICIENCY 615751	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LIPT2	ENSG00000175536	2	Mitochondrial Lipoylation Defect Associated with Severe Neonatal Encephalopathy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NUS1	ENSG00000153989	2	Epilepsy and intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CTNND1	ENSG00000198561	2	Blepharo-cheiro-dontic syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUBG1	ENSG00000131462	2	Posteriorly predominant pachygyria and severe microcephaly	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC4A11	ENSG00000088836	3	CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 4 613268	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NDUFA10	ENSG00000130414	2	LEIGH SYNDROME DUP 256000	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TAPT1	ENSG00000169762	2	COMPLEX LETHAL OSTEOCHONDRODYSPLASIA	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MAP3K7	ENSG00000135341	2	FRONTOMETAPHYSEAL DYSPLASIA 305620	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LIPT1	ENSG00000144182	2	Leigh syndrome with secondary deficiency for pyruvate and alpha-ketoglutarate dehydrogenase.	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NTRK2	ENSG00000148053	2	Epilepsy and intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIH1D3	ENSG00000080572	2	X-Linked Primary Ciliary Dyskinesia with Outer and Inner Dynein Arm Defects	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
HIST1H4C	ENSG00000197061	2	HIST1H4C	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KDM1A	ENSG00000004487	2	Developmental delay and distinctive facial features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EED	ENSG00000074266	2	Weaver-like overgrowth syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DPF2	ENSG00000133884	2	Coffin Siris like disorder	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DRC1	ENSG00000157856	2	PRIMARY CILARY DYSKINEASIA 244400	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CRYBA4	ENSG00000196431	3	CATARACT ZONULAR TYPE 2 610425	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC25A19	ENSG00000125454	2	AMISH LETHAL MICROCEPHALY 216535	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FMN2	ENSG00000155816	2	NONSYNDROMIC AUTOSOMAL-RECESSIVE INTELLECTUAL DISABILITY	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TMEM216	ENSG00000187049	2	JOUBERT SYNDROME 2 608091	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TMTC3	ENSG00000139324	2	Cobblestone Lissencephaly	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SOX4	ENSG00000124766	2	Neurodevelopmental Disease Associated with Mild Dysmorphism	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUFM	ENSG00000178952	2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 4 610678	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DDX6	ENSG00000110367	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
